Pattern;#SUP:
105 -1 119 -1;424.0
98 -1 119 -1;270.0
91 -1 119 -1;1803.0
119 -1 91 -1;215.0
61 -1 119 -1;144.0
52 -1 119 -1;1234.0
119 -1 52 -1;328.0
45 -1 119 -1;371.0
119 -1 45 -1;111.0
41 -1 119 -1;126.0
22 -1 119 -1;1079.0
119 -1 22 -1;492.0
119 -1 22 -1 52 -1;328.0
119 -1 22 -1 91 -1;164.0
119 -1 120 -1 22 -1;492.0
119 -1 126 -1 22 -1;492.0
119 -1 128 -1 22 -1;492.0
119 -1 22 -1 52 -1 91 -1;164.0
119 -1 120 -1 45 -1;111.0
119 -1 126 -1 45 -1;111.0
119 -1 128 -1 45 -1;111.0
119 -1 52 -1 91 -1;164.0
119 -1 120 -1 52 -1;328.0
119 -1 126 -1 52 -1;328.0
119 -1 128 -1 52 -1;328.0
119 -1 120 -1 91 -1;215.0
119 -1 126 -1 91 -1;215.0
119 -1 128 -1 91 -1;215.0
119 -1 120 -1 113 -1;294.0
119 -1 113 -1 122 -1;196.0
119 -1 126 -1 113 -1;294.0
119 -1 128 -1 113 -1;294.0
119 -1 120 -1 122 -1;196.0
119 -1 120 -1 126 -1;2708.0
119 -1 120 -1 128 -1;2370.0
119 -1 120 -1 126 -1 128 -1;2370.0
119 -1 120 -1 128 -1 122 -1;196.0
119 -1 120 -1 128 -1 113 -1;294.0
119 -1 120 -1 128 -1 91 -1;215.0
119 -1 120 -1 128 -1 52 -1;328.0
119 -1 120 -1 128 -1 45 -1;111.0
119 -1 120 -1 128 -1 22 -1;492.0
119 -1 120 -1 128 -1 22 -1 52 -1;328.0
119 -1 120 -1 128 -1 22 -1 91 -1;164.0
119 -1 120 -1 128 -1 22 -1 52 -1 91 -1;164.0
119 -1 120 -1 128 -1 52 -1 91 -1;164.0
119 -1 120 -1 128 -1 113 -1 122 -1;196.0
119 -1 120 -1 126 -1 122 -1;196.0
119 -1 120 -1 126 -1 113 -1;294.0
119 -1 120 -1 126 -1 91 -1;215.0
119 -1 120 -1 126 -1 52 -1;328.0
119 -1 120 -1 126 -1 45 -1;111.0
119 -1 120 -1 126 -1 22 -1;492.0
119 -1 120 -1 126 -1 22 -1 52 -1;328.0
119 -1 120 -1 126 -1 22 -1 91 -1;164.0
119 -1 120 -1 126 -1 128 -1 22 -1;492.0
119 -1 120 -1 126 -1 22 -1 52 -1 91 -1;164.0
119 -1 120 -1 126 -1 128 -1 45 -1;111.0
119 -1 120 -1 126 -1 52 -1 91 -1;164.0
119 -1 120 -1 126 -1 128 -1 52 -1;328.0
119 -1 120 -1 126 -1 128 -1 91 -1;215.0
119 -1 120 -1 126 -1 113 -1 122 -1;196.0
119 -1 120 -1 126 -1 128 -1 113 -1;294.0
119 -1 120 -1 126 -1 128 -1 122 -1;196.0
119 -1 120 -1 126 -1 128 -1 113 -1 122 -1;196.0
119 -1 120 -1 126 -1 128 -1 52 -1 91 -1;164.0
119 -1 120 -1 126 -1 128 -1 22 -1 91 -1;164.0
119 -1 120 -1 126 -1 128 -1 22 -1 52 -1;328.0
119 -1 120 -1 126 -1 128 -1 22 -1 52 -1 91 -1;164.0
119 -1 120 -1 113 -1 122 -1;196.0
119 -1 120 -1 52 -1 91 -1;164.0
119 -1 120 -1 22 -1 91 -1;164.0
119 -1 120 -1 22 -1 52 -1;328.0
119 -1 120 -1 22 -1 52 -1 91 -1;164.0
119 -1 126 -1 122 -1;196.0
119 -1 128 -1 122 -1;196.0
119 -1 126 -1 128 -1;2370.0
119 -1 126 -1 128 -1 122 -1;196.0
119 -1 126 -1 128 -1 113 -1;294.0
119 -1 126 -1 128 -1 91 -1;215.0
119 -1 126 -1 128 -1 52 -1;328.0
119 -1 126 -1 128 -1 45 -1;111.0
119 -1 126 -1 128 -1 22 -1;492.0
119 -1 126 -1 128 -1 22 -1 52 -1;328.0
119 -1 126 -1 128 -1 22 -1 91 -1;164.0
119 -1 126 -1 128 -1 22 -1 52 -1 91 -1;164.0
119 -1 126 -1 128 -1 52 -1 91 -1;164.0
119 -1 126 -1 128 -1 113 -1 122 -1;196.0
119 -1 126 -1 113 -1 122 -1;196.0
119 -1 126 -1 52 -1 91 -1;164.0
119 -1 126 -1 22 -1 91 -1;164.0
119 -1 126 -1 22 -1 52 -1;328.0
119 -1 126 -1 22 -1 52 -1 91 -1;164.0
119 -1 128 -1 113 -1 122 -1;196.0
119 -1 128 -1 52 -1 91 -1;164.0
119 -1 128 -1 22 -1 91 -1;164.0
119 -1 128 -1 22 -1 52 -1;328.0
119 -1 128 -1 22 -1 52 -1 91 -1;164.0
113 -1 115 -1;240.0
61 -1 115 -1;306.0
41 -1 115 -1;272.0
115 -1 119 -1 120 -1;248.0
115 -1 119 -1 126 -1;217.0
115 -1 119 -1 128 -1;186.0
115 -1 119 -1 126 -1 128 -1;186.0
115 -1 119 -1 120 -1 128 -1;186.0
115 -1 119 -1 120 -1 126 -1;217.0
115 -1 119 -1 120 -1 126 -1 128 -1;186.0
115 -1 120 -1 126 -1;224.0
115 -1 120 -1 128 -1;192.0
115 -1 120 -1 126 -1 128 -1;192.0
115 -1 126 -1 128 -1;198.0
113 -1 108 -1;192.0
113 -1 98 -1;208.0
91 -1 113 -1;176.0
113 -1 91 -1;512.0
113 -1 91 -1 119 -1;322.0
113 -1 91 -1 120 -1;282.0
113 -1 122 -1 91 -1;512.0
113 -1 91 -1 126 -1;240.0
113 -1 91 -1 128 -1;192.0
113 -1 91 -1 126 -1 128 -1;192.0
113 -1 91 -1 120 -1 128 -1;188.0
113 -1 91 -1 119 -1 128 -1;184.0
113 -1 91 -1 120 -1 126 -1;235.0
113 -1 91 -1 119 -1 126 -1;230.0
113 -1 91 -1 119 -1 120 -1;276.0
113 -1 91 -1 120 -1 126 -1 128 -1;188.0
113 -1 91 -1 119 -1 120 -1 126 -1;230.0
113 -1 91 -1 119 -1 120 -1 128 -1;184.0
113 -1 91 -1 119 -1 120 -1 126 -1 128 -1;184.0
113 -1 91 -1 119 -1 126 -1 128 -1;184.0
113 -1 98 -1 119 -1;140.0
113 -1 98 -1 120 -1;120.0
113 -1 122 -1 98 -1;208.0
113 -1 98 -1 126 -1;105.0
113 -1 98 -1 120 -1 126 -1;100.0
113 -1 98 -1 119 -1 126 -1;100.0
113 -1 98 -1 119 -1 120 -1;120.0
113 -1 98 -1 119 -1 120 -1 126 -1;100.0
113 -1 108 -1 119 -1;168.0
113 -1 108 -1 120 -1;144.0
113 -1 122 -1 108 -1;192.0
113 -1 108 -1 126 -1;120.0
113 -1 108 -1 128 -1;96.0
113 -1 108 -1 126 -1 128 -1;96.0
113 -1 108 -1 120 -1 128 -1;96.0
113 -1 108 -1 119 -1 128 -1;96.0
113 -1 108 -1 120 -1 126 -1;120.0
113 -1 108 -1 119 -1 126 -1;120.0
113 -1 108 -1 119 -1 120 -1;144.0
113 -1 108 -1 120 -1 126 -1 128 -1;96.0
113 -1 108 -1 119 -1 120 -1 126 -1;120.0
113 -1 108 -1 119 -1 120 -1 128 -1;96.0
113 -1 108 -1 119 -1 120 -1 126 -1 128 -1;96.0
113 -1 108 -1 119 -1 126 -1 128 -1;96.0
113 -1 115 -1 119 -1;91.0
113 -1 122 -1 115 -1;240.0
113 -1 119 -1 120 -1;618.0
113 -1 122 -1 119 -1;721.0
113 -1 119 -1 126 -1;515.0
113 -1 119 -1 128 -1;412.0
113 -1 119 -1 126 -1 128 -1;412.0
113 -1 119 -1 120 -1 128 -1;412.0
113 -1 119 -1 120 -1 126 -1;515.0
113 -1 119 -1 120 -1 126 -1 128 -1;412.0
113 -1 122 -1 120 -1;630.0
113 -1 120 -1 126 -1;525.0
113 -1 120 -1 128 -1;420.0
113 -1 120 -1 126 -1 128 -1;420.0
113 -1 122 -1 126 -1;545.0
113 -1 122 -1 128 -1;436.0
113 -1 122 -1 126 -1 128 -1;436.0
